population,cohort,observations,symbols,average_15m,average_eod,average_d1,average_d5,average_mfe_eod,average_mae_eod
RAW_SCAN_OBSERVATIONS,NO_CHASE,53,14,-0.24902453789705117,-0.41784748749861245,-0.9647238716836722,-2.092160859968822,0.4883109287956913,-1.027854508041512
RAW_SCAN_OBSERVATIONS,ACTIONABLE,11,1,-0.34308883954008135,-0.785366811250115,-0.1253965680904439,,-0.10532388175054187,-0.9871184465444135
RAW_SCAN_OBSERVATIONS,ALL_OTHER,27392,208,-0.09659708245102243,-0.08532580852634147,-0.014094156760742526,-0.005567794595083302,0.45328711238968156,-0.6306642416699404
FIRST_SYMBOL_DAY,NO_CHASE,14,14,-0.1984765014573305,0.013612908045180906,-0.42787583468257323,-2.0189932937283284,0.9082070356356368,-1.1522425780463301
FIRST_SYMBOL_DAY,ACTIONABLE,2,1,-0.34898180143514423,-0.949374596564384,-0.24073846015319594,,0.02247778327219563,-1.1780081268601028
FIRST_SYMBOL_DAY,ALL_OTHER,2288,208,-0.028873938780245384,-0.05545054048105399,-0.014946321175432467,-0.07253864569048936,0.6983462503651366,-0.6905899927339091
OPPORTUNITY_EPISODES,NO_CHASE,18,14,-0.1985500494265352,-0.016656603439333766,-0.6809453082845116,-2.183264343365252,0.7633360064023736,-1.042550275147766
OPPORTUNITY_EPISODES,ACTIONABLE,3,1,-0.33293177135728474,-1.0517213289901888,-0.1663909677727494,,-0.014508116171629837,-1.204143682520668
OPPORTUNITY_EPISODES,ALL_OTHER,6,2,-0.236711653699286,-0.5675044452538932,0.34719721862064196,-1.0457364212206355,0.37804510271995756,-0.7395550114170405
