trade_date,open,high,low,close,adj_close,volume,return_1d_pct,return_5d_pct,return_21d_pct,sma20,sma50,ema20,atr14,rsi14,volatility20_pct,trend_score,primary_trend,market_zone
2007-09-17,4518.4501953125,4549.0498046875,4482.85009765625,4494.64990234375,4494.64990234375,0,,,,,,4494.64990234375,,,,,SIDEWAYS,SIDEWAYS
2007-09-18,4494.10009765625,4551.7998046875,4481.5498046875,4546.2001953125,4546.2001953125,0,1.1469256580333154,,,,,4499.559454055059,,,,,SIDEWAYS,SIDEWAYS
2007-09-19,4550.25,4739.0,4550.25,4732.35009765625,4732.35009765625,0,4.094626156931791,,,,,4521.729991540887,,,,,SIDEWAYS,SIDEWAYS
2007-09-20,4734.85009765625,4760.85009765625,4721.14990234375,4747.5498046875,4747.5498046875,0,0.32118728998469237,,,,,4543.236640411993,,,,,SIDEWAYS,SIDEWAYS
2007-09-21,4752.9501953125,4855.7001953125,4733.7001953125,4837.5498046875,4837.5498046875,0,1.8957147097464544,,,,,4571.266465581089,,,,,SIDEWAYS,SIDEWAYS
2007-09-24,4837.14990234375,4941.14990234375,4837.14990234375,4932.2001953125,4932.2001953125,0,1.9565770781994951,9.734913785845434,,,,4605.64110650789,,,,,SIDEWAYS,SIDEWAYS
2007-09-25,4939.10009765625,4953.89990234375,4878.14990234375,4938.85009765625,4938.85009765625,0,0.13482628604715163,8.636881031957277,,,,4637.375296141066,,,,,SIDEWAYS,SIDEWAYS
2007-09-26,4937.60009765625,4980.85009765625,4930.35009765625,4940.5,4940.5,0,0.03340660905122306,4.398446819199586,,,,4666.244315556202,,,,,SIDEWAYS,SIDEWAYS
2007-09-27,4942.7001953125,5016.39990234375,4942.7001953125,5000.5498046875,5000.5498046875,0,1.2154600685659434,5.3290646840650435,,,,4698.082933568708,,,,,SIDEWAYS,SIDEWAYS
2007-09-28,4996.4501953125,5055.7998046875,4996.4501953125,5021.35009765625,5021.35009765625,0,0.4159601200102392,3.799450142934968,,,,4728.870282529426,,,,,SIDEWAYS,SIDEWAYS
