"trade_id","symbol","strategy","direction","entry_at","O_FACTOR","X_FACTOR","RSI14","ATR14","WILLIAMS14","RELATIVE_VOLUME","ENTRY_PRICE","ENTRY_VS_REFERENCE","INTRADAY_MAX_PROFIT","SWING_TARGET_PROFIT","FIVE_DAY_MAX_PROFIT","THIRTY_DAY_MAX_PROFIT"
"7172cd0d-a063-48ae-8b15-9f6dfe0dea0f","MPHASIS","QUALITY_SUM_THRESHOLD","BUY","2026-08-14T09:35:00.000Z","79.0903","84.3519","64.04543431","82.31428571","-2.08585248","3.35198295","2549.1","0.11389521640091474","608.4000000000142","0","608.4000009242999","608.4000009242999"
"2a3a8ffb-dd11-4381-8ff5-1824780e34b7","BDL","QUALITY_SUM_THRESHOLD","BUY","2026-08-14T09:06:00.000Z","81.3787","83.0735","68.52544731","32.87142857","-9.64760254","4.61675884","1400.3","0.8207934336525209","2769","1988.4260000000222","3791.3999975590204","3791.3999975590204"
"35d4f8a0-fc2f-4080-9877-e6e0ab2f9679","APLAPOLLO","QUALITY_SUM_THRESHOLD","BUY","2026-08-14T07:35:00.000Z","77.3653","75.5827","73.86449152","57.53571429","-0.24407252","1.25661736","2086","-0.24389077519008698","1225.5000000000086","5945.099999999993","3249.0000036480005","7124.999998613"
"3d2c7f5e-efca-4806-8e93-1e0be6a12a86","BIOCON","QUALITY_SUM_THRESHOLD","SELL","2026-08-14T05:33:00.000Z","72.8432","82.5763","41.34329034","8.70714286","-97.45916515","2.91545535","415.95","-0.07217610970768949","1320","1996.5599999999904","3503.9999959128","3503.9999959128"
"4f89f79c-ea54-47d0-9817-a289821cdbf0","IREDA","QUALITY_SUM_THRESHOLD","SELL","2026-08-14T04:03:00.000Z","71.0703","81.5042","34.13622465","2.18857143","-100","11.93055748","116.68","-0.15450643776824619","908.4200000000019","1999.8952000000156","2810.9599979774807","4730.64000147404"
"d2d3575e-2f3f-4c22-92b0-f70c96fd547b","RADICO","QUALITY_SUM_THRESHOLD","BUY","2026-08-13T08:35:00.000Z","77.9222","77.071","75.05374731","119","-4.70332851","2.54116067","4624.8","0.3885476133625767","2167.1999999999844","1988.6639999999825","2167.2000095150397","5125.59999441"
"afdd40ee-b349-4b20-99e5-a6168081ff99","AUROPHARMA","QUALITY_SUM_THRESHOLD","BUY","2026-08-13T05:34:00.000Z","74.0826","84.0259","66.33810693","40.18571429","-5.72951366","2.82564481","1676.4","0.17927572606669057","547.3999999999892","0","0","0"
"2d8ffedf-c9e3-4be4-8c4b-25c085169ab0","BOSCHLTD","QUALITY_SUM_THRESHOLD","BUY","2026-08-13T04:32:00.000Z","85.6476","83.0621","77.86799928","1165.35714286","-3.70615486","1.48993792","46975","-0.010642826734780758","1180","5637","2959.99999279","8520.00000083"
"d968c721-7e82-4572-99d7-bf83f5e83416","KEI","QUALITY_SUM_THRESHOLD","BUY","2026-08-13T04:03:00.000Z","80.7252","84.9174","74.58854598","147.82857143","-1.55076093","2.26466319","5770","0.04161176225812532","2274.5999999999876","1961.7999999999938","2274.600005338","3797.800006596"
"0ef9a033-4606-476d-bce6-15b460eadf23","KALYANKJIL","RSI_WILLR","BUY","2026-08-12T09:36:00.000Z","74.9617","76.8082","62.77599159","26.41071429","-55.81527936","2.09286205","598.95","-0.1749999999999924","499.5","5983.510499999983","6943.049998316685","7575.7500086380205"
"3b6ad981-b77c-4aad-b61e-664d10a5a756","KEI","QUALITY_SUM_THRESHOLD","BUY","2026-08-12T08:36:00.000Z","74.4895","80.0805","72.92889388","145.88571429","-1.78553104","1.22132521","5696.7","-0.10346157892891918","2005.5000000000066","5981.534999999994","4907.0000097762","6474.999993445201"
"0d67a7cf-7d41-4369-9f4f-539d00e6cb3b","PIDILITIND","QUALITY_SUM_THRESHOLD","BUY","2026-08-12T07:04:00.000Z","73.1681","82.2638","65.19362867","37.2","-0.76045627","1.8003381","1692.1","-0.09446773336483064","1109.2000000000107","0","1687.4000054421601","1805.40000135464"
"5e7372f3-8571-4fc5-a243-4056f623d3e7","HINDALCO","QUALITY_SUM_THRESHOLD","BUY","2026-08-12T05:34:00.000Z","79.0204","77.6096","71.16864825","21.87857143","-6.94854146","1.99700023","1075.2","-0.17176547049811142","1646.099999999983","0","1646.1000028569597","1646.1000028569597"
"6ce04c9d-8d27-47a1-81f9-3a8f234190f2","BOSCHLTD","QUALITY_SUM_THRESHOLD","BUY","2026-08-12T04:33:00.000Z","89.062","71.0857","76.83855192","1177.14285714","-0.36127168","1.65080511","46560","-0.08583690987124463","700","9312","2899.9999921920007","10179.999996096001"
"9222727d-b6cb-413b-97f8-d8ad77671877","SIEMENS","QUALITY_SUM_THRESHOLD","BUY","2026-08-12T04:06:00.000Z","83.8183","80.0945","73.76269423","112.64285714","-0.11668611","7.10181226","4037.9","-1.266596571875681","1082.8999999999955","0","1082.9000040082","1082.9000040082"
"aa904f70-0d9d-42b3-8b7c-3f7f36919c89","LTM","QUALITY_SUM_THRESHOLD","BUY","2026-08-11T09:36:00.000Z","88.9551","81.7855","73.22004937","151.08571429","-0.85634768","6.68628885","4839.6","-0.008264462809909839","426.3999999999851","0","426.39999429444003","0"
"c8308fa3-dbad-4602-bb9c-308ddb2bc56c","PFC","RSI_WILLR","SELL","2026-08-11T09:17:00.000Z","78.6323","82.3319","27.09645307","9.82142857","-99.89658738","3.94900367","381.35","0.4567997911772383","628.8000000000238","9991.369999999997","3851.399990926941","0"
