signal_date,symbol,sector,selected_direction,directional_edge,ofactor_long,ofactor_short,xfactor_score,decision_code,setup_state,data_quality_score,data_permission,hard_gates,stock_primary_trend,nifty_primary_trend,vix_regime,close_price,rsi_14,willr_14,close_vs_ema61_pct,volume_vs_sma20,macd_line_pct_close,atr14,o_long_market_regime_support,o_short_market_regime_support,x_long_entry_location_quality,x_long_stop_invalidation_quality,x_long_market_sector_synchronisation,x_short_entry_location_quality,x_short_stop_invalidation_quality,x_short_market_sector_synchronisation,daily_level,canonical_status,qualified
2023-08-01,CGCL,OTHER,LONG,37.8562,61.4174,23.5612,79.5598,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,795.4,55.56642823993649,-52.07182320441997,5.971927021458825,0.7648265760225418,1.2572230869886984,26.042857142857127,67.7254,32.2746,81.2873,80.9545,83.8627,81.2873,68.4366,16.1373,MEDIUM,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2023-08-02,APOLLOTYRE,Automobile and Auto Components,LONG,28.2306,59.4069,31.1763,81.6301,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,424.75,56.17666112590376,-51.05973025048172,6.171372764630885,0.861939610973308,1.2637973419840065,9.292857142857144,55.9119,44.0881,83.1053,75.6802,64.922,83.1053,70.0846,35.078,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2023-08-02,INDHOTEL,Consumer Services,LONG,14.1089,56.8515,42.7426,78.2841,ENTERABLE_TIER_B,TRIGGERED,98.5,FULL,,TRANSITION,SIDEWAYS,LOW,395.75,55.75640948355638,-36.88073394495417,4.000667396589684,1.0650942856517822,0.5406526794380204,9.09642857142856,55.9119,44.0881,66.1589,76.914,51.3538,66.1589,78.2332,48.6462,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2023-08-02,KAYNES,OTHER,LONG,44.3379,64.3837,20.0458,82.0432,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,1769.8,56.80292870588001,-64.42521083000449,15.826491982265065,0.7620936265422366,3.7464562459282353,76.13214285714288,55.9119,44.0881,86.8934,81.6635,77.66,86.8934,81.6635,22.34,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2023-08-02,STARHEALTH,OTHER,LONG,38.1642,68.8176,30.6534,72.8699,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,642.4,65.37444473743157,-36.12244897959193,7.7859205267714415,1.1116823832367613,2.4512877698488293,16.310714285714305,55.9119,44.0881,57.2878,72.0429,77.66,57.2878,78.1739,22.34,LOW,UPGRADE_OFACTOR_REQUIRED,False
2023-08-03,COFORGE,Information Technology,LONG,14.4021,58.6993,44.2972,86.1401,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,4765.25,53.41730735089912,-65.1079136690648,4.297399415602531,0.767194560213155,0.7155149499023548,123.43928571428567,55.9119,44.0881,95.998,82.0965,56.1885,95.998,90.7161,43.8115,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2023-08-03,HSCL,OTHER,LONG,44.2534,69.0415,24.7881,78.188,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,139.55,56.72681642283303,-61.341853035143714,8.14614422699472,0.7927886401818448,1.385699238031046,4.746428571428575,55.9119,44.0881,73.2782,68.8187,77.0836,73.2782,84.8307,22.9165,LOW,UPGRADE_OFACTOR_REQUIRED,False
2023-08-03,KFINTECH,OTHER,LONG,56.5428,76.702,20.1592,74.5538,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,386.55,59.769674206228174,-48.67503486750343,8.317689368410843,2.979097556530649,2.0243971815185566,13.367857142857137,55.9119,44.0881,55.1412,72.1721,77.0836,55.1412,85.338,22.9165,LOW,WAIT_FOR_XFACTOR,False
2023-08-04,FEDERALBNK,Financial Services,LONG,19.4272,60.377,40.9498,78.198,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,134.6,55.84817172769104,-53.757225433526045,3.1153654679564324,0.7471773373624898,0.991952198319268,3.021428571428572,55.9119,44.0881,79.5902,61.6076,65.5126,79.5902,88.0851,34.4874,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2023-08-04,FORTIS,Healthcare,LONG,43.2776,71.4279,28.1503,80.231,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,338.5,60.46327367354354,-47.45762711864407,8.66109281041821,0.87691864267146,2.1910559308303186,9.574999999999998,55.9119,44.0881,69.1732,78.4856,77.2801,69.1732,95.8225,22.7199,LOW,UPGRADE_OFACTOR_REQUIRED,False
