symbol,sector,signal_date,daily_level,decision_code,setup_state,ofactor_long,xfactor_score,directional_edge,data_quality_score,daily_rsi14,daily_willr14,close_vs_ema61_pct,macd_line_pct_close,atr14,volume_vs_sma20,nifty_regime,stock_regime,vix_regime,entry_ts,entry_price,entry_rsi14,entry_willr14,quantity,exit_state,exit_ts,exit_price,gross_pnl,transaction_costs,net_before_tax,tax_provision,after_tax_pnl,i030_hit,i050_hit,i070_hit,s100_d5_hit,s200_d5_hit,s500_d5_hit,intraday_mfe_pct,intraday_mae_pct,d5_mfe_pct,d5_mae_pct,h30_mfe_pct,h30_mae_pct,d5_sessions,h30_sessions,actual_holding_minutes,actual_holding_sessions
ABB,Capital Goods,2024-06-12,LOW,ENTERABLE_TIER_B,TRIGGERED,74.99,88.715,46.2569,98.5,59.05548126931104,-27.151351957814423,14.980676957190433,2.5148536599635056,368.7392857142858,0.9660829642718676,TRANSITION,SIDEWAYS,LOW,2024-06-12 10:10:00+05:30,8273.75,24.832214765101085,-85.96918085969232,24,CLOSED_INTRADAY,2024-06-12 10:10:00+05:30,8298.571249999999,595.709999999976,291.02891196826,304.681088031716,106.6383808111006,198.04270722061543,True,False,False,True,True,True,0.3897869768847206,-0.4562622752681711,10.59011935337666,-0.4562622752681711,10.59011935337666,-14.752077353074489,6,31,0.0,1
ACE,OTHER,2024-04-22,LOW,ENTERABLE_TIER_B,TRIGGERED,79.9732,79.14,60.5378,97.2931,58.05019179990825,-52.9639175257732,17.51425089627532,2.796157284579066,85.66428571428571,0.9296621498949422,SIDEWAYS,,LOW,2024-04-22 09:47:00+05:30,1483.0,29.30591259640103,-85.33653846153865,134,CLOSED_INTRADAY,2024-04-22 10:52:00+05:30,1487.4489999999998,596.1659999999732,291.215556449396,304.95044355057723,106.73265524270202,198.2177883078752,True,True,True,True,True,True,2.832097100472009,-1.4160485502360045,5.866486850977748,-1.4160485502360045,11.193526635198925,-20.36412677006069,6,31,65.0,1
ADANIENSOL,Power,2025-06-06,LOW,ENTERABLE_TIER_B,TRIGGERED,76.7055,87.1142,45.7402,98.5,52.10181479430675,-30.22508038585208,2.903532774928137,-0.2249996236428329,21.850000000000005,2.608592791199309,TRANSITION,UPWARD,LOW,2025-06-06 09:36:00+05:30,876.75,26.293103448275676,-95.27027027026996,228,CLOSED_INTRADAY,2025-06-06 10:07:00+05:30,879.3802499999999,599.6969999999772,292.660823253982,307.03617674599525,107.46266186109833,199.5735148848969,True,True,True,True,True,True,1.7964071856287456,-0.2566295979469668,5.4291417165668765,-2.857142857142847,5.4291417165668765,-6.723695466210444,6,31,31.0,1
ADANIPOWER,Power,2024-04-30,LOW,ENTERABLE_TIER_B,TRIGGERED,83.4754,78.8826,59.0485,98.5,64.63614709933717,-30.6666666666666,19.212455241968208,3.3647116421643783,19.71428571428572,1.773405696460369,SIDEWAYS,UPWARD,LOW,2024-04-30 09:54:00+05:30,122.25,23.188405797101662,-97.50000000000014,1635,CLOSED_INTRADAY,2024-04-30 09:55:00+05:30,122.61674999999998,599.6362499999673,292.63595778856745,307.0002922113998,107.45010227398994,199.5501899374099,True,True,True,True,True,False,0.9406952965235194,-1.0224948875255602,2.167689161554187,-6.33946830265849,46.54396728016361,-6.33946830265849,6,31,1.0,1
ANGELONE,OTHER,2023-12-12,LOW,ENTERABLE_TIER_B,TRIGGERED,78.6534,79.9276,58.5664,97.2931,60.80521829250298,-52.36076596988752,19.67342152514204,3.891871942177512,119.8964285714286,0.7615994994754343,UPWARD,,LOW,2023-12-12 10:17:00+05:30,303.2,29.7872340425523,-100.0,659,CLOSED_INTRADAY,2023-12-12 10:27:00+05:30,304.10959999999994,599.4263999999605,292.5500644895184,306.8763355104421,107.40671742865472,199.46961808178736,True,True,True,True,True,True,1.58311345646438,-0.3627968337730713,11.642480211081809,-2.176781002638506,28.49604221635884,-6.200527704485492,6,31,10.0,1
ANGELONE,OTHER,2024-09-16,LOW,ENTERABLE_TIER_B,TRIGGERED,77.0064,79.2848,54.0339,97.2931,59.54380711360119,-20.510905288317936,5.932882770386835,1.2625924603581358,97.12857142857138,1.186501203883791,TRANSITION,,LOW,2024-09-16 10:10:00+05:30,250.1,26.66666666666657,-80.00000000000018,799,CLOSED_INTRADAY,2024-09-16 13:51:00+05:30,250.8503,599.489699999984,292.5759736905182,306.91372630946586,107.41980420831304,199.4939221011528,True,True,True,True,True,True,5.477808876449419,-1.2395041983206734,7.716913234706113,-1.2395041983206734,35.6657337065174,-2.239104358256694,6,31,221.0,1
APOLLOTYRE,Automobile and Auto Components,2023-12-29,MEDIUM,ENTERABLE_TIER_B,TRIGGERED,75.7775,79.3358,51.454,97.2931,61.70502458662594,-47.07224334600759,7.64991853246394,0.97056376180717,15.757142857142854,1.0324282378998464,UPWARD,,LOW,2023-12-29 10:09:00+05:30,443.5,23.913043478260303,-93.65079365079396,450,CLOSED_INTRADAY,2023-12-29 10:15:00+05:30,444.8305,598.725,292.26297580735,306.46202419265,107.2617084674275,199.2003157252225,True,True,True,True,True,False,2.626832018038328,0.0,4.847801578354005,0.0,25.794813979706863,0.0,6,31,6.0,1
ASTERDM,OTHER,2025-05-30,LOW,ENTERABLE_TIER_B,TRIGGERED,75.3868,81.1783,55.1651,97.2931,58.05745467719464,-68.86145404663931,9.393884748183636,2.161635625047777,22.86428571428572,2.375272619400324,SIDEWAYS,,NORMAL,2025-05-30 10:16:00+05:30,554.15,28.899082568807486,-95.99999999999908,360,CLOSED_INTRADAY,2025-05-30 10:21:00+05:30,555.8124499999999,598.481999999964,292.163513945692,306.31848605427206,107.2114701189952,199.1070159352768,True,True,True,True,True,True,3.58206261842462,-0.1263195885590429,6.559595777316618,-2.1925471442750144,21.80817468194533,-2.1925471442750144,6,31,5.0,1
AUROPHARMA,Healthcare,2023-12-07,MEDIUM,ENTERABLE_TIER_B,TRIGGERED,75.9836,82.4057,50.602,97.2931,60.664104740380175,-41.75438596491228,9.778814587396525,2.957910514281575,27.414285714285736,1.0488586389344314,UPWARD,,LOW,2023-12-07 10:55:00+05:30,1026.0,29.411764705882877,-89.47368421052442,194,CLOSED_SWING,2023-12-13 10:08:00+05:30,1036.26,1990.44,293.05637412664,1697.38362587336,594.084269055676,1103.299356817684,False,False,False,True,True,False,0.2729044834308025,-0.4922027290448327,2.319688109161788,-2.894736842105272,13.411306042884984,-2.894736842105272,6,31,8593.0,5
BALRAMCHIN,OTHER,2024-07-10,MEDIUM,ENTERABLE_TIER_B,TRIGGERED,74.8868,77.2636,51.9773,97.2931,61.01439931950008,-57.0162481536189,7.275146916062339,1.7967137571719174,11.917857142857148,0.8036379998022827,TRANSITION,,LOW,2024-07-10 09:42:00+05:30,432.75,25.30120481927717,-93.7500000000009,462,CLOSED_INTRADAY,2024-07-10 11:59:00+05:30,434.04825,599.7914999999723,292.69950286684895,307.0919971331233,107.48219899659316,199.60979813653012,True,True,True,True,True,True,1.074523396880411,-1.9295205083766696,6.2969381860196405,-1.9295205083766696,35.274407856730214,-1.9295205083766696,6,31,137.0,1
