"exported_at","2026-08-22T17:54:00.959Z"
"data_as_of","2026-08-22T17:53:47.488Z"
"environment","PAPER"
"filters","{""section"":""methodology-audit"",""period"":""ALL"",""strategy"":""ALL"",""status"":""ALL"",""direction"":""ALL"",""horizon"":""5D"",""accounting"":""ALL"",""capital"":""ALL"",""basis"":""ALL""}"
"population","35"
"policy_version","CASH_EQUITY_TRADE_QUALITY_V1"
"warning","Booked, open, observed, hypothetical and simulated values are separate accounting classes."

"account_opening_cash","account_risk_limits","actual_pnl","actual_pnl_per_unit","actual_pnl_total","actual_return_pct","analytical_evidence_components","analytical_evidence_score","analytical_grade","asset_class","average_entry_price","bars_observed","booked_accounting_class","capture_efficiency_pct","carry_accounting_class","carry_mark","carry_mark_at","charges_total","closed_at","closed_in_intraday","comment_count","current_return","entry_notional","entry_strategy","evidence_atr14","evidence_available_at","evidence_buy_limit","evidence_component_scores","evidence_data_permission","evidence_data_quality","evidence_direction","evidence_directional_edge","evidence_gate_evidence","evidence_no_chase_price","evidence_ofactor","evidence_quality_score","evidence_reason_codes","evidence_reference_price","evidence_rsi14","evidence_run_id","evidence_sector","evidence_volume_ratio","evidence_willr14","evidence_xfactor","execution_outcome","fill_count","fill_friction_total","first_intraday_hit_minutes","fixed_capital_accounting_class","fixed_investment_actual_pnl","fixed_investment_budget","fixed_investment_carry_pnl","fixed_investment_cash_remaining","fixed_investment_deployed","fixed_investment_intraday_eod_pnl","fixed_investment_mae_30d_pnl","fixed_investment_mae_5d_pnl","fixed_investment_mfe_30d_pnl","fixed_investment_mfe_5d_pnl","fixed_investment_quantity","fno_lot_expiry","fno_lot_size","fno_quantity_investment_required","gross_execution_mark","gross_net_warning","group_status","highest_price","horizon_30d_snapshot_pnl","horizon_30d_snapshot_state","horizon_5d_snapshot_pnl","horizon_5d_snapshot_state","hypothetical_carry_mark","hypothetical_carry_mark_at","hypothetical_carry_mark_source","hypothetical_carry_pnl","hypothetical_carry_return_pct","intraday_bar_count","intraday_eod_complete","intraday_eod_mark","intraday_eod_mark_at","intraday_eod_mark_source","intraday_eod_pnl","intraday_eod_return_pct","intraday_max_drawdown","intraday_max_profit","intraday_session_high","intraday_session_low","investment_price_basis","investment_quantity_basis","last_mark","last_mark_at","last_session_date","latest_comment","latest_comment_at","leg_status","lot_count","lowest_price","mae","mae_30d_pct","mae_5d_pct","mature_5d","metadata","mfe","mfe_30d_pct","mfe_5d_pct","observation_status","open_accounting_class","open_unrealised_gross_pnl","opened_at","opened_quantity","performance_basis_amount","performance_basis_type","quality_coverage_pct","quality_label","quality_score","quantity_matches_current_fno_lot","realised_gross_pnl","realised_net_pnl","realised_pnl","remaining_quantity","review_entry_evidence_confirmed","review_evidence_note","review_hard_fail_flags","review_ratings","review_reviewed_at","review_reviewer_email","sessions_observed","side","snapshot_lot_size","stop_loss_exit_price","stop_loss_hit","stop_loss_hit_at","stop_loss_limit","stop_loss_price","stop_loss_scenario_pnl","stop_loss_scenario_state","strategy_id","strategy_version","symbol","target_accounting_class","trade_group_id","trade_leg_id","trade_quality_review","unrealised_pnl"
"1600000.00000000","{}","4554.7748","2.49576701369863","4554.7748","0.8910271380573473","{""reward"":17.99,""risk"":34,""speed"":17.95}","70","DEVELOPING","EQUITY","280.10000000","247","BOOKED","47.53841921256299","HYPOTHETICAL","282.5","2026-08-22T17:53:06.169Z","657.65420000","2026-08-21T06:53:00.000Z","true","0","0.00856836843984291325","511182.50000000006","RSI_WILLR","9.26857143","2026-08-21T06:30:05.039Z","280.40000000","{""xfactor"":{""score"":79.8875,""weights"":{""setup_integrity"":18,""instrument_quality"":3,""reward_path_quality"":14,""trigger_confirmation"":16,""entry_location_quality"":20,""timing_session_quality"":3,""stop_invalidation_quality"":14,""liquidity_slippage_quality"":6,""market_sector_synchronisation"":6},""decision"":""ENTERABLE_TIER_B"",""move_atr"":0.0378,""setup_id"":""PULLBACK_CONTINUATION"",""penalties"":{},""raw_score"":79.8875,""components"":{""setup_integrity"":55,""instrument_quality"":100,""reward_path_quality"":100,""trigger_confirmation"":55,""entry_location_quality"":97.9021,""timing_session_quality"":80,""stop_invalidation_quality"":82.3058,""liquidity_slippage_quality"":100,""market_sector_synchronisation"":78.0717},""hard_gates"":[],""final_score"":79.8875,""reward_risk"":6,""setup_state"":""ARMED"",""setup_valid"":true,""extension_atr"":0.0378,""penalty_total"":0,""risk_per_share"":4.1,""structural_stop"":276.3,""setup_evaluation"":{""state"":""ARMED"",""valid"":true,""direction"":""LONG"",""setup_type"":""PULLBACK_CONTINUATION"",""reason_codes"":[],""trigger_price"":280.4,""structural_stop"":276.3,""volume_confirmed"":true},""vwap_distance_atr"":0.1191,""weighted_contributions"":{""setup_integrity"":9.9,""instrument_quality"":3,""reward_path_quality"":14,""trigger_confirmation"":8.8,""entry_location_quality"":19.5804,""timing_session_quality"":2.4,""stop_invalidation_quality"":11.5228,""liquidity_slippage_quality"":6,""market_sector_synchronisation"":4.6843},""score_reconciliation_residual"":0},""ofactor_long"":{""weights"":{""trend_quality"":18,""catalyst_context"":4,""momentum_quality"":12,""relative_strength"":10,""liquidity_tradability"":6,""market_regime_support"":8,""sector_industry_support"":14,""money_flow_participation"":18,""institutional_confirmation"":10},""direction"":""LONG"",""penalties"":{},""raw_score"":75.3664,""components"":{""trend_quality"":78.815,""catalyst_context"":50,""momentum_quality"":55.0617,""relative_strength"":65.6471,""liquidity_tradability"":100,""market_regime_support"":66.5995,""sector_industry_support"":89.5439,""money_flow_participation"":95.2414,""institutional_confirmation"":50},""final_score"":75.3664,""penalty_total"":0,""classification"":""TIER_B"",""weighted_contributions"":{""trend_quality"":14.1867,""catalyst_context"":2,""momentum_quality"":6.6074,""relative_strength"":6.5647,""liquidity_tradability"":6,""market_regime_support"":5.328,""sector_industry_support"":12.5362,""money_flow_participation"":17.1435,""institutional_confirmation"":5},""score_reconciliation_residual"":0},""ofactor_short"":{""weights"":{""trend_quality"":18,""catalyst_context"":4,""momentum_quality"":12,""relative_strength"":10,""liquidity_tradability"":6,""market_regime_support"":8,""sector_industry_support"":14,""money_flow_participation"":18,""institutional_confirmation"":10},""direction"":""SHORT"",""penalties"":{},""raw_score"":35.9963,""components"":{""trend_quality"":21.185,""catalyst_context"":50,""momentum_quality"":44.9383,""relative_strength"":34.3529,""liquidity_tradability"":100,""market_regime_support"":33.4005,""sector_industry_support"":10.456,""money_flow_participation"":34.5511,""institutional_confirmation"":50},""final_score"":35.9963,""penalty_total"":0,""classification"":""REJECT"",""weighted_contributions"":{""trend_quality"":3.8133,""catalyst_context"":2,""momentum_quality"":5.3926,""relative_strength"":3.4353,""liquidity_tradability"":6,""market_regime_support"":2.672,""sector_industry_support"":1.4638,""money_flow_participation"":6.2192,""institutional_confirmation"":5},""score_reconciliation_residual"":0}}","FULL","93.6655","LONG","39.3701","{""STOP_TOO_WIDE"":{""rule"":""risk per share / ATR14 <= 2.5; recorded but non-blocking"",""actual"":{""atr14"":9.268571428571429,""risk_atr"":0.4423551171393341,""risk_per_share"":4.1},""fields"":[""structural_stop"",""risk_per_share"",""atr14""],""passed"":true,""blocking"":false,""source_table"":""oiis_live.daily_candidate.evidence""},""NO_VALID_SETUP"":{""rule"":""one canonical setup object must contain recognised structure, volume confirmation and a structural invalidation"",""actual"":{""state"":""ARMED"",""valid"":true,""direction"":""LONG"",""setup_type"":""PULLBACK_CONTINUATION"",""reason_codes"":[],""trigger_price"":280.4,""structural_stop"":276.3,""volume_confirmed"":true},""fields"":[""open"",""high"",""low"",""close"",""sma20"",""sma50"",""prior_high_20"",""prior_low_20"",""volume_ratio_20""],""passed"":true,""blocking"":true,""source_table"":""nse.fact_eod_prices + public.bars_1m + derived rolling features""},""EXCESSIVE_EXTENSION"":{""rule"":""abs(current price - session open) / previous completed daily ATR <= 1.8; VWAP distance retained separately"",""actual"":{""close"":280.4,""level"":""LOW"",""move_atr"":0.0378,""session_open"":280.75,""session_vwap"":279.29565505499187,""vwap_distance_atr"":0.1191,""atr14_previous_completed"":9.268571428571429},""fields"":[""close"",""session_open"",""session_vwap"",""atr14_previous_completed""],""passed"":true,""blocking"":true,""source_table"":""public.bars_1m + nse.fact_eod_prices derived features""},""OFACTOR_BELOW_MINIMUM"":{""rule"":""canonical permission requires selected OFactor >= 74; 54/64/74 remain screening cohorts"",""actual"":{""long"":75.3664,""short"":35.9963,""selected"":75.3664,""screening_level"":""HIGH""},""fields"":[""ofactor_long"",""ofactor_short"",""selected_ofactor""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate.component_scores/evidence""},""XFACTOR_BELOW_MINIMUM"":{""rule"":""XFactor >= 76"",""actual"":{""xfactor"":79.8875},""fields"":[""xfactor_snapshot""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate.component_scores/evidence""},""INSUFFICIENT_LIQUIDITY"":{""rule"":""primary: volume ratio >= 0.75 and turnover percentile >= 0.10; fallback: 90-day volume percentile >= 0.30"",""actual"":{""primary_used"":true,""volume_level"":""HIGH"",""volume_ratio_20"":1.920332495292998,""turnover_percentile"":0.8894736842105263,""volume_percentile_90"":0.8888888888888888},""fields"":[""volume"",""volume_average_20"",""turnover_lacs"",""volume_percentile_90""],""passed"":true,""blocking"":true,""source_table"":""nse.fact_eod_prices""},""REWARD_RISK_BELOW_MINIMUM"":{""rule"":""when estimable, reward/risk >= 1.5"",""actual"":{""reward_risk"":6},""fields"":[""reward_risk""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate.evidence""},""DATA_QUALITY_BELOW_MINIMUM"":{""rule"":""data quality >= 85 and permission FULL"",""actual"":{""score"":93.6655,""permission"":""FULL""},""fields"":[""data_quality"",""data_permission""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate""},""REWARD_RISK_NOT_CALCULATED"":{""rule"":""reward/risk is calculated only from a valid setup stop and a real opposing barrier"",""actual"":{""reward_risk"":6,""risk_per_share"":4.1,""structural_stop"":276.3},""fields"":[""setup_evaluation"",""structural_stop"",""opposing_barrier""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate.evidence""},""DIRECTIONAL_EDGE_BELOW_MINIMUM"":{""rule"":""abs(long OFactor - short OFactor) >= 6; LOW 6, MEDIUM 7, HIGH 8"",""actual"":{""edge"":39.3701,""level"":""HIGH"",""absolute_edge"":39.3701},""fields"":[""ofactor_long"",""ofactor_short"",""directional_edge""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate""}}","283.20400000","75.3664","248.9194","[]","280.40000000","54.16819786","2b328781-62cf-4246-b878-2ea88a8332ab","Consumer Services","1.92033250","-69.78723404","79.8875","CLOSED_PROFIT","2","0.00000000","1","SIMULATED","1781.9776477808218","200000","1713.5999999999838","8.599999999976717","199991.40000000002","1713.5999999999838","0","0","3748.500007568401","3748.500007568401","714","2026-08-25T00:00:00.000Z","1825","511182.50000000006","7665","realised_net_pnl is NET; open_unrealised_gross_pnl and counterfactual paths are GROSS","CLOSED","285.35000000","4379.999999999958","DEVELOPING_INCLUSIVE","4379.999999999958","DEVELOPING","282.5","2026-08-22T17:53:06.169Z","SMARTAPI_QUOTE_CACHE","4379.999999999958","0.8568368439842766","208","true","282.5","2026-08-21T10:00:00.000Z","BARS_1M_ENTRY_SESSION_CLOSE","4379.999999999958","0.8568368439842766","0","8121.249999999979","284.55","280.2","280.1","1825","282.50000000","2026-08-22T01:25:00.000Z","2026-08-22T00:00:00.000Z","","","CLOSED","1","280.10000000","0.0000000000","0","0","false","{""run_id"":null,""run_slot"":null,""policy_id"":""OIIS_DAILY_SELECTION_INTRADAY_ENTRY_V1.0"",""entry_rule"":""RSI_WILLR"",""fno_lot_size"":1825,""quality_score"":null,""sizing_policy"":""ONE_CURRENT_FNO_LOT"",""source_bar_id"":""NSE:27066:2026-08-21T04:32:00+00:00:ws"",""entry_evidence"":{},""operator_override"":false,""quality_threshold"":null,""one_entry_per_symbol_trade_date"":false,""one_entry_per_symbol_trade_date_per_method"":true}","0.0187433060","1.8743306000000002","1.8743306000000002","ACTIVE","OPEN_ACTUAL","0","2026-08-21T06:33:00.000Z","1825.00000000","507350.00000000","ENTRY_NOTIONAL","100","GOOD_MEDIUM","80.25","true","7665","4554.7748","4554.77480000","0.00000000","","","","","","","2","BUY","1825.00000000","","false","","6000","276.8123287671233","4379.999999999958","NO_BREACH_MARKED_CURRENT","OIIS_LIVE","3.9","SWIGGY","OBSERVED","165d8bd1-e7aa-4986-a46b-08dc0e763204","b38932c3-0b6a-49e0-a7dd-acbd08e7e0c1","","0.00000000"
"1600000.00000000","{}","3880","1.6","3880","0.49019607843137253","{""reward"":6.03,""risk"":33.09,""speed"":11.88}","51","DEVELOPING","EQUITY","326.40000000","245","BOOKED","78.04877992737656","HYPOTHETICAL","328","2026-08-22T17:53:06.169Z","0","","false","0","0.00490196078431372549","791520","RSI_WILLR","7.52500000","2026-08-21T06:30:05.039Z","326.50000000","{""xfactor"":{""score"":82.729,""weights"":{""setup_integrity"":18,""instrument_quality"":3,""reward_path_quality"":14,""trigger_confirmation"":16,""entry_location_quality"":20,""timing_session_quality"":3,""stop_invalidation_quality"":14,""liquidity_slippage_quality"":6,""market_sector_synchronisation"":6},""decision"":""ENTERABLE_TIER_B"",""move_atr"":0.3455,""setup_id"":""BREAKOUT_ACCEPTANCE"",""penalties"":{},""raw_score"":82.729,""components"":{""setup_integrity"":90,""instrument_quality"":100,""reward_path_quality"":50,""trigger_confirmation"":90,""entry_location_quality"":80.8047,""timing_session_quality"":80,""stop_invalidation_quality"":92.0266,""liquidity_slippage_quality"":100,""market_sector_synchronisation"":78.0717},""hard_gates"":[""REWARD_RISK_NOT_CALCULATED""],""final_score"":82.729,""reward_risk"":null,""setup_state"":""TRIGGERED"",""setup_valid"":true,""extension_atr"":0.3455,""penalty_total"":0,""risk_per_share"":1.5,""structural_stop"":325,""setup_evaluation"":{""state"":""TRIGGERED"",""valid"":true,""direction"":""LONG"",""setup_type"":""BREAKOUT_ACCEPTANCE"",""reason_codes"":[],""trigger_price"":326.5,""structural_stop"":325,""volume_confirmed"":true},""vwap_distance_atr"":0.2003,""weighted_contributions"":{""setup_integrity"":16.2,""instrument_quality"":3,""reward_path_quality"":7,""trigger_confirmation"":14.4,""entry_location_quality"":16.1609,""timing_session_quality"":2.4,""stop_invalidation_quality"":12.8837,""liquidity_slippage_quality"":6,""market_sector_synchronisation"":4.6843},""score_reconciliation_residual"":0},""ofactor_long"":{""weights"":{""trend_quality"":18,""catalyst_context"":4,""momentum_quality"":12,""relative_strength"":10,""liquidity_tradability"":6,""market_regime_support"":8,""sector_industry_support"":14,""money_flow_participation"":18,""institutional_confirmation"":10},""direction"":""LONG"",""penalties"":{},""raw_score"":81.7478,""components"":{""trend_quality"":100,""catalyst_context"":50,""momentum_quality"":79.8888,""relative_strength"":100,""liquidity_tradability"":100,""market_regime_support"":66.5995,""sector_industry_support"":89.5439,""money_flow_participation"":73.8723,""institutional_confirmation"":50},""final_score"":81.7478,""penalty_total"":0,""classification"":""TIER_B"",""weighted_contributions"":{""trend_quality"":18,""catalyst_context"":2,""momentum_quality"":9.5867,""relative_strength"":10,""liquidity_tradability"":6,""market_regime_support"":5.328,""sector_industry_support"":12.5362,""money_flow_participation"":13.297,""institutional_confirmation"":5},""score_reconciliation_residual"":0},""ofactor_short"":{""weights"":{""trend_quality"":18,""catalyst_context"":4,""momentum_quality"":12,""relative_strength"":10,""liquidity_tradability"":6,""market_regime_support"":8,""sector_industry_support"":14,""money_flow_participation"":18,""institutional_confirmation"":10},""direction"":""SHORT"",""penalties"":{},""raw_score"":29.816,""components"":{""trend_quality"":0,""catalyst_context"":50,""momentum_quality"":20.1112,""relative_strength"":0,""liquidity_tradability"":100,""market_regime_support"":33.4005,""sector_industry_support"":10.456,""money_flow_participation"":57.0379,""institutional_confirmation"":50},""final_score"":29.816,""penalty_total"":0,""classification"":""REJECT"",""weighted_contributions"":{""trend_quality"":0,""catalyst_context"":2,""momentum_quality"":2.4133,""relative_strength"":0,""liquidity_tradability"":6,""market_regime_support"":2.672,""sector_industry_support"":1.4638,""money_flow_participation"":10.2668,""institutional_confirmation"":5},""score_reconciliation_residual"":0}}","FULL","93.6655","LONG","51.9318","{""STOP_TOO_WIDE"":{""rule"":""risk per share / ATR14 <= 2.5; recorded but non-blocking"",""actual"":{""atr14"":7.52499999999999,""risk_atr"":0.19933554817275775,""risk_per_share"":1.5},""fields"":[""structural_stop"",""risk_per_share"",""atr14""],""passed"":true,""blocking"":false,""source_table"":""oiis_live.daily_candidate.evidence""},""NO_VALID_SETUP"":{""rule"":""one canonical setup object must contain recognised structure, volume confirmation and a structural invalidation"",""actual"":{""state"":""TRIGGERED"",""valid"":true,""direction"":""LONG"",""setup_type"":""BREAKOUT_ACCEPTANCE"",""reason_codes"":[],""trigger_price"":326.5,""structural_stop"":325,""volume_confirmed"":true},""fields"":[""open"",""high"",""low"",""close"",""sma20"",""sma50"",""prior_high_20"",""prior_low_20"",""volume_ratio_20""],""passed"":true,""blocking"":true,""source_table"":""nse.fact_eod_prices + public.bars_1m + derived rolling features""},""EXCESSIVE_EXTENSION"":{""rule"":""abs(current price - session open) / previous completed daily ATR <= 1.8; VWAP distance retained separately"",""actual"":{""close"":326.5,""level"":""LOW"",""move_atr"":0.3455,""session_open"":329.1,""session_vwap"":328.0070483307783,""vwap_distance_atr"":0.2003,""atr14_previous_completed"":7.52499999999999},""fields"":[""close"",""session_open"",""session_vwap"",""atr14_previous_completed""],""passed"":true,""blocking"":true,""source_table"":""public.bars_1m + nse.fact_eod_prices derived features""},""OFACTOR_BELOW_MINIMUM"":{""rule"":""canonical permission requires selected OFactor >= 74; 54/64/74 remain screening cohorts"",""actual"":{""long"":81.7478,""short"":29.816,""selected"":81.7478,""screening_level"":""HIGH""},""fields"":[""ofactor_long"",""ofactor_short"",""selected_ofactor""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate.component_scores/evidence""},""XFACTOR_BELOW_MINIMUM"":{""rule"":""XFactor >= 76"",""actual"":{""xfactor"":82.729},""fields"":[""xfactor_snapshot""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate.component_scores/evidence""},""INSUFFICIENT_LIQUIDITY"":{""rule"":""primary: volume ratio >= 0.75 and turnover percentile >= 0.10; fallback: 90-day volume percentile >= 0.30"",""actual"":{""primary_used"":true,""volume_level"":""HIGH"",""volume_ratio_20"":1.945479007249762,""turnover_percentile"":1,""volume_percentile_90"":0.8809523809523809},""fields"":[""volume"",""volume_average_20"",""turnover_lacs"",""volume_percentile_90""],""passed"":true,""blocking"":true,""source_table"":""nse.fact_eod_prices""},""REWARD_RISK_BELOW_MINIMUM"":{""rule"":""when estimable, reward/risk >= 1.5"",""actual"":{""reward_risk"":null},""fields"":[""reward_risk""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate.evidence""},""DATA_QUALITY_BELOW_MINIMUM"":{""rule"":""data quality >= 85 and permission FULL"",""actual"":{""score"":93.6655,""permission"":""FULL""},""fields"":[""data_quality"",""data_permission""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate""},""REWARD_RISK_NOT_CALCULATED"":{""rule"":""reward/risk is calculated only from a valid setup stop and a real opposing barrier"",""actual"":{""reward_risk"":null,""risk_per_share"":1.5,""structural_stop"":325},""fields"":[""setup_evaluation"",""structural_stop"",""opposing_barrier""],""passed"":false,""blocking"":true,""source_table"":""oiis_live.daily_candidate.evidence""},""DIRECTIONAL_EDGE_BELOW_MINIMUM"":{""rule"":""abs(long OFactor - short OFactor) >= 6; LOW 6, MEDIUM 7, HIGH 8"",""actual"":{""edge"":51.9318,""level"":""HIGH"",""absolute_edge"":51.9318},""fields"":[""ofactor_long"",""ofactor_short"",""directional_edge""],""passed"":true,""blocking"":true,""source_table"":""oiis_live.daily_candidate""}}","329.76500000","81.7478","258.1423","[""REWARD_RISK_NOT_CALCULATED""]","326.50000000","68.75149988","2b328781-62cf-4246-b878-2ea88a8332ab","Consumer Services","1.94547901","-16.42969984","82.7290","OPEN_PROFIT","1","0.00000000","131","SIMULATED","979.2","200000","979.2000000000139","243.20000000001164","199756.8","979.2000000000139","-214.19999569152003","-214.19999569152003","1254.60000900864","1254.60000900864","612","2026-08-25T00:00:00.000Z","2425","791520","3880","realised_net_pnl is NET; open_unrealised_gross_pnl and counterfactual paths are GROSS","OPEN","328.45000000","3880.000000000055","DEVELOPING_INCLUSIVE","3880.000000000055","DEVELOPING","328","2026-08-22T17:53:06.169Z","SMARTAPI_QUOTE_CACHE","3880.000000000055","0.4901960784313708","206","true","328","2026-08-21T10:00:00.000Z","BARS_1M_ENTRY_SESSION_CLOSE","3880.000000000055","0.4901960784313708","-727.4999999998897","5092.5000000000555","328.5","326.1","326.4","2425","328.00000000","2026-08-22T01:25:00.000Z","2026-08-22T00:00:00.000Z","","","OPEN","1","326.05000000","-0.0010723039","-0.10723039000000001","-0.10723039000000001","false","{""run_id"":null,""run_slot"":null,""policy_id"":""OIIS_DAILY_SELECTION_INTRADAY_ENTRY_V1.0"",""entry_rule"":""RSI_WILLR"",""fno_lot_size"":2425,""quality_score"":null,""sizing_policy"":""ONE_CURRENT_FNO_LOT"",""source_bar_id"":""NSE:5097:2026-08-21T04:05:00+00:00:ws"",""entry_evidence"":{},""operator_override"":false,""quality_threshold"":null,""one_entry_per_symbol_trade_date"":false,""one_entry_per_symbol_trade_date_per_method"":true}","0.0062806373","0.62806373","0.62806373","ACTIVE","OPEN_ACTUAL","3880","2026-08-21T06:33:00.000Z","2425.00000000","796612.50000000","ENTRY_NOTIONAL","100","GOOD_MEDIUM","83.45","true","0","0","0.00000000","2425.00000000","","","","","","","2","BUY","2425.00000000","","false","","6000","323.9257731958763","3880.000000000055","NO_BREACH_MARKED_CURRENT","OIIS_LIVE","3.9","ETERNAL","OBSERVED","e855748e-3f25-4fc1-8a42-aa4f2b9af492","ca9d9812-94e0-41bc-a3c7-062b648b363f","","3880.00000000"
